X,Y,FID,COD_REG,REGION,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,CUT,DIR_GEOCOD,LAT,LNG,ANO,Tipo_Accid,Zona,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.795688799898,-33.5539176998418,43,13,REGION METROPOLITANA,MAIPU,CAMINO A MELIPILLA,PARQUE CENTRAL PONIENTE,0,13119,"Cam. a Melipilla & Parque Central Pte., Maipú, Región Metropolitana, Chile",-33.5539177,-70.7956888,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7940168001351,-33.5632418995938,44,13,REGION METROPOLITANA,PADRE HURTADO,LOURDES,TRANSVERSAL,0,13604,"Lourdes, Padre Hurtado, Región Metropolitana, Chile",-33.5632419,-70.7940168,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.793715899569,-33.5676056997431,45,13,REGION METROPOLITANA,PADRE HURTADO,EL TREBOL,SEGUNDA TRANSVERSAL,0,13604,"El Trebol & Segunda Transversal, Padre Hurtado, Región Metropolitana, Chile",-33.5676057,-70.7937159,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7913154003853,-33.5159902998123,46,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS,4 PONIENTE,0,13119,"Las Tinajas & Avenida Cuatro Poniente, Maipú, Región Metropolitana, Chile",-33.5159903,-70.7913154,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7910937004138,-33.5145949998592,47,13,REGION METROPOLITANA,MAIPU,EL HUASO,4 PONIENTE,0,13119,"El Huaso & Avenida Cuatro Poniente, Maipú, Región Metropolitana, Chile",-33.514595,-70.7910937,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7909613004235,-33.5060299996846,48,13,REGION METROPOLITANA,MAIPU,4 PONIENTE,BENEDICTO V,0,13119,"Avenida Cuatro Poniente & Benedicto V, Maipú, Región Metropolitana, Chile",-33.50603,-70.7909613,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.7908739996352,-33.5132294000167,49,13,REGION METROPOLITANA,MAIPU,4 PONIENTE,AGUA SANTA,0,13119,"Avenida Cuatro Poniente & Agua Santa, Maipú, Región Metropolitana, Chile",-33.5132294,-70.790874,2020,ATROPELLO,URBANA,0,0,1,0,1
-70.7904427998951,-33.5097821996886,50,13,REGION METROPOLITANA,MAIPU,4 PONIENTE,MANTOS BLANCOS,0,13119,"Mantos Blancos & Avenida Cuatro Poniente, Maipú, Región Metropolitana, Chile",-33.5097822,-70.7904428,2020,ATROPELLO,URBANA,0,0,0,2,1
-70.7900762002563,-33.5159195996097,51,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS,LEDA,0,13119,"Leda & Las Tinajas, Maipú, Región Metropolitana, Chile",-33.5159196,-70.7900762,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7885846998239,-33.5089542001761,52,13,REGION METROPOLITANA,MAIPU,JOSE MANUEL BORGOÑO,QUINTA VERGARA,0,13119,"Jose Manuel Borgoño & Quinta Vergara, Maipú, Región Metropolitana, Chile",-33.5089542,-70.7885847,2020,ATROPELLO,URBANA,0,0,1,0,1
-70.7880319998768,-33.5371449003167,53,13,REGION METROPOLITANA,MAIPU,4 PONIENTE,PDTE GABRIEL GONZALEZ VIDELA,0,13119,"Gabriel González Videla & Av. Cuatro Pte., Maipú, Región Metropolitana, Chile",-33.5371449,-70.788032,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7865807000391,-33.5219771001629,54,13,REGION METROPOLITANA,MAIPU,SUR,LAS NACIONES,0,13119,"Avenida Sur & Las Naciones, Maipú, Región Metropolitana, Chile",-33.5219771,-70.7865807,2020,ATROPELLO,URBANA,1,2,1,0,2
-70.785086499842,-33.8592255995816,55,13,REGION METROPOLITANA,PAINE,G-54,LOMAS DEL AGUILA,0,13404,"Loma de Águila 1208, Paine, Región Metropolitana, Chile",-33.8592256,-70.7850865,2020,ATROPELLO,RURAL,0,0,0,0,1
-70.7850208996946,-33.5155911995741,56,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS, ,1825,13119,"Las Tinajas 1825, Maipú, Región Metropolitana, Chile",-33.5155912,-70.7850209,2020,ATROPELLO,URBANA,0,0,1,0,1
-70.7830390996746,-33.5156166998507,57,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS,PADRE HURTADO,0,13119,"Las Tinajas, Maipú, Región Metropolitana, Chile",-33.5156167,-70.7830391,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.782460299603,-33.5155985002704,58,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS,SIGLO XX,0,13119,"Siglo XX & Las Tinajas, Maipú, Región Metropolitana, Chile",-33.5155985,-70.7824603,2020,ATROPELLO,URBANA,0,0,1,1,1
-70.7821424998763,-33.5329787001068,59,13,REGION METROPOLITANA,MAIPU,ALFREDO SILVA CARVALLO,PDTE GABRIEL GONZALEZ VIDELA,0,13119,"Av. Alfredo Silva Carvallo & Gabriel González Videla, Maipú, Región Metropolitana, Chile",-33.5329787,-70.7821425,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.779660700181,-33.5028041000291,60,13,REGION METROPOLITANA,MAIPU,3 PONIENTE,LIBER BERNARDO OHIGGINS,0,13119,"Av. Tres Pte. & Libertador Gral. Bernardo O'Higgins, Maipú, Región Metropolitana, Chile",-33.5028041,-70.7796607,2020,ATROPELLO,URBANA,0,2,0,0,1
-70.7793542004359,-33.5149094999733,61,13,REGION METROPOLITANA,MAIPU,3 PONIENTE, ,1734,13119,"Av. Tres Pte. 1734, Maipú, Región Metropolitana, Chile",-33.5149095,-70.7793542,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7783969998216,-33.5421679997533,62,13,REGION METROPOLITANA,MAIPU,CAMINO A MELIPILLA,EGIPTO,0,13119, ,-33.542168,-70.778397,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.7780418998137,-33.5216535996337,63,13,REGION METROPOLITANA,MAIPU,SUR,3 PONIENTE,0,13119,"Av. Sur & Av. Tres Pte., Maipú, Región Metropolitana, Chile",-33.5216536,-70.7780419,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.7776615999028,-33.509128799954,64,13,REGION METROPOLITANA,MAIPU,CAMINO A RINCONADA,3 PONIENTE,0,13119,"Cam. A Rinconada & Av. Tres Pte., Maipú, Región Metropolitana, Chile",-33.5091288,-70.7776616,2020,ATROPELLO,URBANA,0,0,0,2,2
-70.7764059997369,-33.4440567003563,65,13,REGION METROPOLITANA,PUDAHUEL,AMERICO VESPUCIO, ,15900,13124,"Av. Américo Vespucio 15900, Pudahuel, Región Metropolitana, Chile",-33.4440567,-70.776406,2020,ATROPELLO,URBANA,1,0,0,2,1
-70.7760065001997,-33.4440651000242,66,13,REGION METROPOLITANA,PUDAHUEL,SAN PABLO,AMERICO VESPUCIO,0,13124,"Av. Américo Vespucio & San Pablo, Pudahuel, Región Metropolitana, Chile",-33.4440651,-70.7760065,2020,ATROPELLO,URBANA,0,2,0,0,2
-70.7755464996711,-33.5094125000866,67,13,REGION METROPOLITANA,MAIPU,CAMINO A RINCONADA,EL OLIMPO,0,13119,"Camino A Rinconada & El Olimpo, Maipú, Región Metropolitana, Chile",-33.5094125,-70.7755465,2020,ATROPELLO,URBANA,0,2,0,0,2
-70.7754944001463,-33.5119377999893,68,13,REGION METROPOLITANA,MAIPU,JOSE MANUEL BORGOÑO,EL OLIMPO,0,13119,"Jose Manuel Borgoño & El Olimpo, Maipú, Región Metropolitana, Chile",-33.5119378,-70.7754944,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7753617996072,-33.4273300999041,69,13,REGION METROPOLITANA,PUDAHUEL,RIO ITATA,LOS MAITENES,0,13124,"Los Maitenes Poniente & Río Itata, Pudahuel, Región Metropolitana, Chile",-33.4273301,-70.7753618,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7748499999274,-33.5397600002237,70,13,REGION METROPOLITANA,MAIPU,CAMINO A MELIPILLA,JACQUES COSTEAU,0,13119,"PI274-Camino A Melipilla / Esq. Jacques Cousteau, Maipú, Región Metropolitana, Chile",-33.53976,-70.77485,2020,ATROPELLO,URBANA,0,1,1,2,3
-70.7747110996374,-33.4089524997579,71,13,REGION METROPOLITANA,RENCA,FUNDO EL RETIRO, ,0,13128,"Fundó El Retiro, Renca, Región Metropolitana, Chile",-33.4089525,-70.7747111,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7727445997833,-33.4347208004244,72,13,REGION METROPOLITANA,PUDAHUEL,MARIA ANGELICA,JOSE MANUEL GUZMAN,0,13124,"María Angélica & José Manuel Guzmán, Pudahuel, Región Metropolitana, Chile",-33.4347208,-70.7727446,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7717556000408,-33.5418161004325,73,13,REGION METROPOLITANA,MAIPU,JORGE GUERRA,LAS INDUSTRIAS,0,13119,"Jorge Guerra & Las Industrias, Maipú, Región Metropolitana, Chile",-33.5418161,-70.7717556,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7712828003608,-33.5118895999249,74,13,REGION METROPOLITANA,MAIPU,JOSE MANUEL BORGOÑO,AMALTEA,0,13119,"Jose Manuel Borgoño 910, Santiago, Maipú, Región Metropolitana, Chile",-33.5118896,-70.7712828,2020,ATROPELLO,URBANA,0,1,0,1,1
-70.7709321996612,-33.5151231995759,75,13,REGION METROPOLITANA,MAIPU,LAS TINAJAS,DEL REY,0,13119,"Las Tinajas & Del Rey, Maipú, Región Metropolitana, Chile",-33.5151232,-70.7709322,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7708725997905,-33.5179093999986,76,13,REGION METROPOLITANA,MAIPU,PORTALES,DEL REY,0,13119,"Avenida Portales & Del Rey, Maipú, Región Metropolitana, Chile",-33.5179094,-70.7708726,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7705709995518,-33.5753942999069,77,13,REGION METROPOLITANA,CALERA DE TANGO,CAMINO A LONQUEN,EL TANGUITO,0,13403,"Cno. a Lonquén 9460, Calera de Tango, Región Metropolitana, Chile",-33.5753943,-70.770571,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7695228999617,-33.4538571999497,78,13,REGION METROPOLITANA,PUDAHUEL,AMERICO VESPUCIO, ,509,13124,"Av. Américo Vespucio 509, Pudahuel, Región Metropolitana, Chile",-33.4538572,-70.7695229,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.7691970998661,-33.5090314996039,79,13,REGION METROPOLITANA,MAIPU,CAMINO A RINCONADA,PADRE HURTADO,0,13119,"Camino A Rinconada & San Alberto Hurtado, Maipú, Región Metropolitana, Chile",-33.5091376,-70.7691821,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7687276996235,-33.5009343996027,80,13,REGION METROPOLITANA,MAIPU,DE LA VICTORIA,EL PORVENIR,0,13119,"Avenida de la Victoria & El Porvenir, Maipú, Región Metropolitana, Chile",-33.5009344,-70.7687277,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.766398100292,-33.5179668001276,81,13,REGION METROPOLITANA,MAIPU,PORTALES, ,708,13119,"Av. Portales 708, Maipú, Región Metropolitana, Chile",-33.5179668,-70.7663981,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7663331998172,-33.4459401001553,82,13,REGION METROPOLITANA,PUDAHUEL,DEMOSTENES,ESPARTA,0,13124,"Esparta & Demóstenes, Pudahuel, Región Metropolitana, Chile",-33.4459401,-70.7663332,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7642686999404,-33.4962604997222,83,13,REGION METROPOLITANA,MAIPU,CRNEL SANTIAGO BUERAS,SAN MARTIN,0,13119,"Av. Coronel Santiago Bueras & Gral José San Martín, Maipú, Región Metropolitana, Chile",-33.4962605,-70.7642687,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7638627999281,-33.4344764995906,84,13,REGION METROPOLITANA,PUDAHUEL,SAN IGNACIO, ,9112,13124,"San Ignacio 9112, Pudahuel, Región Metropolitana, Chile",-33.4344765,-70.7638628,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7631279998571,-33.5118409996623,85,13,REGION METROPOLITANA,MAIPU,CARMEN LUISA CORREA, ,988,13119,"Carmen Luisa Correa 988, Maipú, Región Metropolitana, Chile",-33.511841,-70.763128,2020,ATROPELLO,URBANA,1,0,0,0,1
-70.7612384001319,-33.5118680000081,86,13,REGION METROPOLITANA,MAIPU,SUR,CARMEN LUISA CORREA,0,13119,"Carmen Luisa Correa 330, Maipú, Región Metropolitana, Chile",-33.511868,-70.7612384,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7609642004373,-33.4695929003919,87,13,REGION METROPOLITANA,MAIPU,AMERICO VESPUCIO,EL DESCANSO,0,13119,"Av. Américo Vespucio & Av. El Descanso, Maipú, Región Metropolitana, Chile",-33.4695929,-70.7609642,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7604214002273,-33.4468318004471,88,13,REGION METROPOLITANA,PUDAHUEL,CORONA SUECA,RELEVANCIA,0,13124,"Corona Sueca & Relevancia, Pudahuel, Región Metropolitana, Chile",-33.4468318,-70.7604214,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7590892003062,-33.3734998001755,89,13,REGION METROPOLITANA,QUILICURA,ANTUMALAL,LO ECHEVERS,0,13125,"Cam. Lo Echevers 550, Quilicura, Región Metropolitana, Chile",-33.3734998,-70.7590892,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7577101996658,-33.5097892000114,90,13,REGION METROPOLITANA,MAIPU,LOS PAJARITOS, ,1924,13119,"Av. Los Pajaritos 1924, Maipú, Región Metropolitana, Chile",-33.5097892,-70.7577102,2020,ATROPELLO,URBANA,0,0,0,1,1
-70.7577014996244,-33.4957959000606,91,13,REGION METROPOLITANA,MAIPU,LOS PAJARITOS, ,3444,13119,"Av. Los Pajaritos 3444, Maipú, Región Metropolitana, Chile",-33.4957959,-70.7577015,2020,ATROPELLO,URBANA,0,1,0,0,1
-70.7576792000349,-33.44322989964,92,13,REGION METROPOLITANA,PUDAHUEL,SAN PABLO, ,8873,13124,"San Pablo 8873, Pudahuel, Región Metropolitana, Chile",-33.4432299,-70.7576792,2020,ATROPELLO,URBANA,0,0,0,2,1
-70.757437300391,-33.5105112000317,93,13,REGION METROPOLITANA,MAIPU,LOS PAJARITOS,5 DE ABRIL,0,13119,"Av. 5 de Abril & Av. Los Pajaritos, Maipú, Región Metropolitana, Chile",-33.5105112,-70.7574373,2020,ATROPELLO,URBANA,0,0,0,1,1
