X,Y,FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.5998639895646,-33.4546778510736,1282,"SUECIA & IRARRAZAVAL, NUNOA",0,0,0,1,1
-70.6023264468955,-33.5906229535597,1283,"2599 PALO DE ROSA, PUENTE ALTO",0,0,0,1,1
-70.5997112748958,-33.4563211575563,1284,"EXEQUIEL FERNANDEZ & DUBLE ALMEYDA, NUNOA",0,0,0,1,1
-70.5986646017448,-33.4063007914151,1285,"VITACURA & LAS CATALPAS, VITACURA",0,0,0,2,1
-70.5989763909916,-33.4291764008713,1286,"LUIS THAYER OJEDA & ELIODORO YANEZ, PROVIDENCIA",0,0,0,1,1
-70.6011442386387,-33.5587049396523,1287,"GENERAL ARRIAGADA & SANTA RAQUEL, LA FLORIDA",0,0,1,0,1
-70.5997480226268,-33.4922766529602,1288,"MACUL & JOSE PEDRO ALESSANDRI, MACUL",0,1,1,0,2
-70.5996459815212,-33.4902398394366,1289,"MACUL & ESCUELA AGRICOLA, MACUL",0,0,0,2,2
-70.5982485075706,-33.419391832805,1290,"CALLAO & VECINAL, LAS CONDES",0,0,0,1,1
-70.5993808115714,-33.4851840053092,1291,"MACUL & QUILIN, MACUL",0,1,0,0,1
-70.6011525327711,-33.5819085847145,1292,"GABRIELA & RODAS, PUENTE ALTO",0,0,0,1,1
-70.5982705318174,-33.42704814773,1293,"HERNANDO DE AGUIRRE & LAS HORTENSIAS, PROVIDENCIA",0,0,0,1,1
-70.5992075950106,-33.4822011870916,1294,"LOS PLATANOS & MACUL, MACUL",0,0,0,1,1
-70.5990603865417,-33.4794615254823,1295,"MACUL & LOS OLMOS, MACUL",0,0,0,3,3
-70.5989128596656,-33.4767038299326,1296,"LOS ESPINOS & MACUL, MACUL",0,0,0,1,1
-70.5978161229233,-33.4192711467984,1297,"CALLAO & VERSALLES, LAS CONDES",0,1,0,0,1
-70.6001507189941,-33.5468859158117,1298,"TRINIDAD & SOCOROMA, LA FLORIDA",0,0,0,2,1
-70.5987605427933,-33.4736846638913,1299,"RODRIGO DE ARAYA & MACUL, NUNOA",0,1,0,0,2
-70.5986353871923,-33.4709717682474,1300,"LOS ALERCES & JOSE PEDRO ALESSANDRI, NUNOA",0,0,0,2,2
-70.5993942273028,-33.520436226836,1301,"VICUNA MACKENNA ORIENTE & SERAFIN ZAMORA, LA FLORIDA",0,0,0,1,1
