X,Y,FID,Ano,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona_1,Cód_Ubica,Ubicación,Cód_Calle,Intersecci,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Atropellos
-70.533714,-33.440475,26,2019,13,REGION METROPOLITANA,LA REINA,URBANA,CARLOS SILVA VILDOSOLA,VALENZUELA LLANOS,NULL,-33.440475,-70.533714,1,13113,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130077,CARLOS SILVA VILDOSOLA - VALENZUELA LLANOS,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.703094,-33.403385,27,2019,13,REGION METROPOLITANA,RENCA,URBANA,JOSE MANUEL BALMACEDA,NULL,4012,-33.403385,-70.703094,1,13128,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131280323,- JOSE MANUEL BALMACEDA,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.703026,-33.438869,28,2019,13,REGION METROPOLITANA,QUINTA NORMA,URBANA,RADAL,EDISON,NULL,-33.438869,-70.703026,1,13126,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131260334,EDISON - RADAL,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,2,0,0,1
-70.702995,-33.360798,29,2019,13,REGION METROPOLITANA,QUILICURA,URBANA,PDTE EDUARDO FREI MONTALVA,NULL,7882,-33.360798,-70.702995,1,13125,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131250559,- PDTE EDUARDO FREI MONTALVA,3,3,2,BIDIRECCIONAL,2,ASFALTO,1,0,0,0,1
-70.702873,-33.400692,30,2019,13,REGION METROPOLITANA,RENCA,URBANA,BAQUEDANO,CAUPOLICAN,NULL,-33.400692,-70.702873,1,13128,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131280088,BAQUEDANO - CAUPOLICAN,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-70.70282,-33.601585,31,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,LIBER BERNARDO O HIGGINS,JOSE JOAQUIN PEREZ,NULL,-33.601585,-70.70282,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,14,CRUCE CON SEÑAL PARE,134010664,JOSE JOAQUIN PEREZ - LIBER BERNARDO O HIGGINS,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,0,1
-70.702705,-33.58535,32,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,BALMACEDA,EYZAGUIRRE,NULL,-33.58535,-70.702705,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,134010107,BALMACEDA - EYZAGUIRRE,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.702637,-33.593239,33,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,VICTORIA,ARTURO PRAT,NULL,-33.593239,-70.702637,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,14,CRUCE CON SEÑAL PARE,134011206,ARTURO PRAT - VICTORIA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,2,1
-70.702469,-33.440205,34,2019,13,REGION METROPOLITANA,QUINTA NORMA,URBANA,SAN PABLO,RADAL,NULL,-33.440205,-70.702469,1,13126,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131260354,RADAL - SAN PABLO,1,0,1,UNIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.702072,-33.592403,35,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,STA TERESA DE TANGO,STA LUCIA,NULL,-33.592403,-70.702072,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,134011159,STA LUCIA - STA TERESA DE TANGO,1,1,2,BIDIRECCIONAL,2,ASFALTO,0,1,0,0,1
-70.701859,-33.595169,36,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,COVADONGA,BULNES,NULL,-33.595169,-70.701859,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,134010282,BULNES - COVADONGA,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.701683,-33.45433,37,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,ECUADOR,RADAL,NULL,-33.45433,-70.701683,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060163,ECUADOR - RADAL,3,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,0,1
-70.701576,-33.458817,38,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,LOS SATELITES,NULL,174,-33.458817,-70.701576,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131060436,- LOS SATELITES,2,0,1,UNIDIRECCIONAL,1,CONCRETO,0,0,0,1,1
-70.701561,-33.594227,39,2019,13,REGION METROPOLITANA,SAN BERNARDO,URBANA,BULNES,NULL,550,-33.594227,-70.701561,1,13401,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,134010135,- BULNES,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,0,0,0,1
-70.701477,-33.424957,40,2019,13,REGION METROPOLITANA,QUINTA NORMA,URBANA,AYUNTAMIENTO,SALVADOR GUTIERREZ,NULL,-33.424957,-70.701477,1,13126,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131260037,AYUNTAMIENTO - SALVADOR GUTIERREZ,2,2,2,BIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
-70.701332,-33.455189,41,2019,13,REGION METROPOLITANA,ESTACION CENTRAL,URBANA,RADAL,CONDE DEL MAULE,NULL,-33.455189,-70.701332,1,13106,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131060648,CONDE DEL MAULE - RADAL,2,0,1,UNIDIRECCIONAL,2,ASFALTO,0,0,0,1,1
