X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.6507735832341,-33.4212776463461,485,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131080190,LA PAZ,131080316,SANTOS DUMONT, ,LA PAZ - SANTOS DUMONT,LA PAZ @ SANTOS DUMONT,0,0,0,1
-70.6507691082076,-33.4493172082224,486,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010202,ELEUTERIO RAMIREZ,131010572,SAN DIEGO, ,ELEUTERIO RAMIREZ - SAN DIEGO,ELEUTERIO RAMIREZ @ SAN DIEGO,0,1,0,0
-70.6507033803566,-33.5224178713875,487,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131090157,GRAL FREIRE,131090174,IQUIQUE, ,GRAL FREIRE - IQUIQUE,GRAL FREIRE @ IQUIQUE,1,0,0,0
-70.6506831995699,-33.4360743997136,488,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010635,STO DOMINGO, , ,955,- STO DOMINGO,955 STO DOMINGO,0,1,0,0
-70.6504587287872,-33.5544424101889,489,1,SAN RAMON,2016,1,13131,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131310046,ANIBAL ZANARTU,131310132,FUERTE BULNES, ,ANIBAL ZANARTU - FUERTE BULNES,ANIBAL ZANARTU @ FUERTE BULNES,0,0,0,1
-70.650440495932,-33.4851672966333,490,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131300148,LLANO SUBERCASEAUX,131300233,RAMON SUBERCASEAUX, ,LLANO SUBERCASEAUX - RAMON SUBERCASEAUX,LLANO SUBERCASEAUX @ RAMON SUBERCASEAUX,0,0,0,1
-70.6503492345294,-33.5840098842486,491,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131120316,JULIO BARRENECHEA,131120542,PEDRO PRADO, ,JULIO BARRENECHEA - PEDRO PRADO,JULIO BARRENECHEA @ PEDRO PRADO,0,0,0,1
-70.6502976557121,-33.1824317241446,492,2,COLINA,2016,1,13301,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,133010294,GRAL SAN MARTIN,133010271,ESMERALDA, ,ESMERALDA - GRAL SAN MARTIN,GRAL SAN MARTIN @ ESMERALDA,0,0,1,1
-70.6502972060511,-33.1824317295406,493,1,COLINA,2016,1,13301,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,133010294,GRAL SAN MARTIN,133010271,ESMERALDA, ,ESMERALDA - GRAL SAN MARTIN,GRAL SAN MARTIN @ ESMERALDA,0,0,0,1
-70.6502450147954,-33.5556356324783,494,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131120807,VENANCIA LEIVA,131120041,ARLEQUIN, ,ARLEQUIN - VENANCIA LEIVA,VENANCIA LEIVA @ ARLEQUIN,0,0,0,2
-70.6501333216953,-33.4861664677082,495,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300009,ALC PEDRO ALARCON, ,ALC PEDRO ALARCON - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ ALC PEDRO ALARCON,0,0,0,0
-70.6501260326901,-33.536239237151,496,1,SAN RAMON,2016,1,13131,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131310174,LA GRANJA,131310106,ECUADOR, ,ECUADOR - LA GRANJA,LA GRANJA @ ECUADOR,0,1,0,0
-70.6500999730352,-33.469957381228,497,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010429,NATANIEL COX,131010437,NUBLE, ,NATANIEL COX - NUBLE,NATANIEL COX @ NUBLE,0,0,0,0
-70.6500370618608,-33.4541344897148,498,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010572,SAN DIEGO,131010002,10 DE JULIO HUAMACHUCO, ,10 DE JULIO HUAMACHUCO - SAN DIEGO,SAN DIEGO @ 10 DE JULIO HUAMACHUCO,0,0,0,1
-70.6499051385112,-33.5602505107523,499,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131120256,GRAL FRANCISCO FRANCO,131120234,FRANCISCO DE GOYA, ,FRANCISCO DE GOYA - GRAL FRANCISCO FRANCO,GRAL FRANCISCO FRANCO @ FRANCISCO DE GOYA,0,0,0,1
-70.6499018326033,-33.4711868129209,500,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010263,GRAL GANA,131010429,NATANIEL COX, ,GRAL GANA - NATANIEL COX,GRAL GANA @ NATANIEL COX,0,0,0,1
-70.6497770507701,-33.3810151332417,501,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131270694,PRINCIPAL CAP IGNACIO CARRERA PINTO,131270278,FARELLONES, ,FARELLONES - PRINCIPAL CAP IGNACIO CARRERA PINTO,PRINCIPAL CAP IGNACIO CARRERA PINTO @ FARELLONES,0,0,0,1
-70.6496809573102,-33.5378705398933,502,1,SAN RAMON,2016,1,13131,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131310061,BOLIVIA,131310121,EMILIANO FIGUEROA, ,BOLIVIA - EMILIANO FIGUEROA,BOLIVIA @ EMILIANO FIGUEROA,0,0,0,1
-70.6496808997535,-33.4471806996294,503,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,4,ACERA O BERMA,131010638,TARAPACA, , ,0,- TARAPACA,0 TARAPACA,0,0,0,2
-70.6496408295605,-33.4843572961522,504,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300098,FERNANDO LAZCANO, ,FERNANDO LAZCANO - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ FERNANDO LAZCANO,0,0,0,2
-70.6495958283846,-33.586741375314,505,2,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131120402,LO BLANCO,131120295,JOHN KENNEDY, ,JOHN KENNEDY - LO BLANCO,LO BLANCO @ JOHN KENNEDY,0,1,0,0
-70.649585600395,-33.4842765999849,506,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131300112,GRAN AVDA JOSE MIGUEL CARRERA, , ,3204,- GRAN AVDA JOSE MIGUEL CARRERA,3204 GRAN AVDA JOSE MIGUEL CARRERA,0,0,0,1
-70.6495700996802,-33.4392147000982,507,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010219,ESTADO, , ,348,- ESTADO,348 ESTADO,0,0,0,1
-70.6495580523621,-33.4733561836408,508,2,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131010429,NATANIEL COX,131010236,FRANKLIN, ,FRANKLIN - NATANIEL COX,NATANIEL COX @ FRANKLIN,0,0,0,3
-70.6494005666826,-33.4745216240735,509,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010429,NATANIEL COX,131010086,BIO BIO, ,BIO BIO - NATANIEL COX,NATANIEL COX @ BIO BIO,0,1,0,0
-70.6493563560109,-33.4447620458316,510,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010605,SERRANO,131010460,PARIS, ,PARIS - SERRANO,SERRANO @ PARIS,0,0,0,1
-70.6492988002992,-33.4497072999518,511,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131010062,ARTURO PRAT, , ,347,- ARTURO PRAT,347 ARTURO PRAT,0,0,0,1
-70.6492471000735,-33.4579332997818,512,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131010572,SAN DIEGO, , ,958,- SAN DIEGO,958 SAN DIEGO,0,0,0,1
-70.6491861467231,-33.3810320063219,513,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270428,JUAN CRISTOBAL,131270694,PRINCIPAL CAP IGNACIO CARRERA PINTO, ,JUAN CRISTOBAL - PRINCIPAL CAP IGNACIO CARRERA PINTO,JUAN CRISTOBAL @ PRINCIPAL CAP IGNACIO CARRERA PINTO,0,1,0,0
-70.6490278876267,-33.4611524176498,514,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,16,CRUCE SIN SEÑALIZACIÓN,131010572,SAN DIEGO,131010597,SANTIAGUILLO, ,SAN DIEGO - SANTIAGUILLO,SAN DIEGO @ SANTIAGUILLO,0,0,0,1
-70.6489113678652,-33.4470586013732,515,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010638,TARAPACA,131010605,SERRANO, ,SERRANO - TARAPACA,TARAPACA @ SERRANO,0,0,0,1
-70.6488480780762,-33.4515028638659,516,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010062,ARTURO PRAT, ,ARTURO PRAT - STA ISABEL,STA ISABEL @ ARTURO PRAT,0,0,1,2
-70.6488376180615,-33.5841626610778,517,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131120316,JULIO BARRENECHEA,131120295,JOHN KENNEDY, ,JOHN KENNEDY - JULIO BARRENECHEA,JULIO BARRENECHEA @ JOHN KENNEDY,0,0,0,1
-70.6488186018968,-33.4332551213266,518,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010104,CARD JOSE MARIA CARO,131010535,RECOLETA, ,CARD JOSE MARIA CARO - RECOLETA,CARD JOSE MARIA CARO @ RECOLETA,0,1,0,0
-70.6487604661224,-33.466134184245,519,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131010572,SAN DIEGO,131010478,PEDRO LAGOS, ,PEDRO LAGOS - SAN DIEGO,SAN DIEGO @ PEDRO LAGOS,0,1,0,0
-70.6487050642871,-33.4930813288401,520,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131300061,CHILOE,131300248,SALESIANOS, ,CHILOE - SALESIANOS,CHILOE @ SALESIANOS,0,0,0,1
-70.6485457394941,-33.4370441782461,521,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010425,MONJITAS,131010569,SAN ANTONIO, ,MONJITAS - SAN ANTONIO,MONJITAS @ SAN ANTONIO,0,0,0,1
-70.6485431998087,-33.4272325000796,522,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131270739,RECOLETA, , ,464,- RECOLETA,464 RECOLETA,0,0,0,1
-70.6484519545939,-33.4732987574316,523,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010236,FRANKLIN,131010572,SAN DIEGO, ,FRANKLIN - SAN DIEGO,FRANKLIN @ SAN DIEGO,0,0,1,0
-70.6483422498948,-33.4382282769133,524,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010416,MERCED,131010569,SAN ANTONIO, ,MERCED - SAN ANTONIO,MERCED @ SAN ANTONIO,0,0,0,1
-70.6483398001415,-33.4715786996971,525,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010572,SAN DIEGO, , ,1950,- SAN DIEGO,1950 SAN DIEGO,0,0,1,0
-70.6483187479117,-33.453959879145,526,2,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010062,ARTURO PRAT,131010002,10 DE JULIO HUAMACHUCO, ,10 DE JULIO HUAMACHUCO - ARTURO PRAT,ARTURO PRAT @ 10 DE JULIO HUAMACHUCO,0,0,0,2
-70.6482771569651,-33.4756638548029,527,3,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131010489,PLACER,131010572,SAN DIEGO, ,PLACER - SAN DIEGO,PLACER @ SAN DIEGO,0,1,1,3
-70.6482078453157,-33.4776150553903,528,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131300124,ISABEL RIQUELME,131300112,GRAN AVDA JOSE MIGUEL CARRERA, ,GRAN AVDA JOSE MIGUEL CARRERA - ISABEL RIQUELME,ISABEL RIQUELME @ GRAN AVDA JOSE MIGUEL CARRERA,0,0,0,1
-70.6481966001928,-33.4319798997524,529,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131270739,RECOLETA, , ,0,- RECOLETA,0 RECOLETA,0,0,0,1
-70.6481370003222,-33.4791429999493,530,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA, , ,2660,- GRAN AVDA JOSE MIGUEL CARRERA,2660 GRAN AVDA JOSE MIGUEL CARRERA,0,1,0,0
-70.6480803106576,-33.4552131248856,531,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131010142,COPIAPO,131010062,ARTURO PRAT, ,ARTURO PRAT - COPIAPO,COPIAPO @ ARTURO PRAT,0,0,0,1
-70.6479120771805,-33.4327587162416,532,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270828,STA MARIA,131270739,RECOLETA, ,RECOLETA - STA MARIA,STA MARIA @ RECOLETA,0,0,0,1
