X,Y,FID,Ano,Cod_Comuna,Comuna,Cod_Region,Region,Cod_TipoAc,TipoAccide,Cod_Zona,Zona,CalleUno,CalleDos,Numero,PistasdeId,PistasdeRe,Fallecidos,Graves,Menos_Grav,Leves,lat,lng,Atropellos
-70.751144,-33.524067,652,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,CAMINO A MELIPILLA, ,11611,3,3,0,0,1,0,-33.524067,-70.751144,1
-70.751053,-33.467964,653,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LONGITUDINAL,ING ROBERTO LLONA,0,2,2,0,0,0,1,-33.467964,-70.751053,1
-70.750809,-33.485252,654,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,WERNER VON BRAUN,ESCR JORGE INOSTROZA,0,1,1,0,0,0,1,-33.485252,-70.750809,1
-70.750633,-33.432289,655,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LA ESTRELLA,SAN DANIEL,0,2,2,0,0,0,0,-33.432289,-70.750633,1
-70.750435,-33.469921,656,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,EL DESCANSO,PARQUE ARAUCO,0,1,1,0,0,1,0,-33.469921,-70.750435,1
-70.7498779,-33.4867478,657,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LOS PAJARITOS,AMERICO VESPUCIO,0,3,3,1,2,0,2,-33.4867478,-70.7498779,3
-70.749718,-33.444553,658,2018,13124,PUDAHUEL,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN PABLO,EL SALITRE,0,3,3,0,1,0,1,-33.444553,-70.749718,2
-70.749397,-33.364826,659,2018,13125,QUILICURA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,SAN LUIS,VOLCAN VILLARRICA,0,1,1,1,1,0,0,-33.364826,-70.749397,1
-70.749359,-33.506287,660,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,PDTE KENNEDY,1 SUR,0,2,0,0,0,0,2,-33.506287,-70.749359,1
-70.748917,-33.3983982,661,2018,13128,RENCA,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,BRASIL, ,7845,2,0,0,0,0,4,-33.3983982,-70.748917,2
-70.748062,-33.470078,662,2018,13119,MAIPU,13,REGION METROPOLITANA,10,ATROPELLO,1,URBANA,LONGITUDINAL,EL DESCANSO,0,2,2,0,0,0,1,-33.470078,-70.748062,1
