X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.718010764685,-33.4660848366459,1525,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS PARCELAS,VISTA HERMOSA,0,LAS PARCELAS / VISTA HERMOSA,0,1,0,2,1
-70.7115636391506,-33.4719020527375,1526,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,AEROPUERTO,YELCHO,0,AEROPUERTO / YELCHO,0,0,0,1,1
-70.7115526242542,-33.4744304517039,1527,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,QUEMCHI,CHAMIZA,0,QUEMCHI / CHAMIZA,0,0,0,1,1
-70.7066986207447,-33.4702272569823,1528,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,PALENA,TAITAO,0,PALENA / TAITAO,0,1,0,2,1
-70.706561977753,-33.4742659881847,1529,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LLANCAHUE, ,840,LLANCAHUE 840,0,0,0,1,1
-70.7050928389633,-33.4645180746494,1530,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS REJAS SUR,5 DE ABRIL,0,LAS REJAS SUR / 5 DE ABRIL,1,0,0,3,2
-70.70488849231,-33.473451950647,1531,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS REJAS,COYHAIQUE,0,LAS REJAS / COYHAIQUE,0,1,0,0,1
-70.7041098296049,-33.4721737721019,1532,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS REJAS SUR,QUENAC,0,LAS REJAS SUR / QUENAC,0,1,0,0,1
-70.6960249567863,-33.4743161235902,1533,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,USPALLATA,MANUEL RODRIGUEZ,0,USPALLATA / MANUEL RODRIGUEZ,0,0,0,1,1
-70.6931201834497,-33.4808776284997,1534,1,2013,13102,CERRILLOS,13,REGION METROPOLITANA,PEDRO AGUIRRE CERDA,AVENIDA 6,0,PEDRO AGUIRRE CERDA / AVENIDA 6,0,0,1,0,1
-70.6884014163922,-33.4668202077863,1535,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,8 DE ENERO,GENERAL VELASQUEZ,0,8 DE ENERO / GENERAL VELASQUEZ,1,0,0,0,1
-70.686914599629,-33.4822932000711,1536,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,GENERAL VELASQUEZ, ,35,GENERAL VELASQUEZ 35,0,1,0,1,1
-70.6857705001084,-33.4817420001931,1537,5,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,CERRILLOS, ,4030,CERRILLOS 4030,0,1,0,4,5
-70.7194080089724,-33.4622948174518,1538,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LOS PAJARITOS,VISTA HERMOSA,0,LOS PAJARITOS / VISTA HERMOSA,0,0,0,1,2
-70.7187276331737,-33.4494845118007,1539,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,MINISTRO GANA,INGENIERO GIROZ,0,MINISTRO GANA / INGENIERO GIROZ,0,1,0,0,1
-70.7177779149188,-33.4481796036058,1540,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,TERRITORIO ANTARTICO,PARDO VILLALON,0,TERRITORIO ANTARTICO / PARDO VILLALON,0,1,0,0,1
-70.7158767076439,-33.4571000743089,1541,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,GENERAL OSCAR BONILLA,AMENTHY,0,GENERAL OSCAR BONILLA / AMENTHY,0,0,1,0,1
-70.7152228159802,-33.4461215653579,1542,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,SANTA MARTA,JULIO ESCUDERO,0,SANTA MARTA / JULIO ESCUDERO,0,0,1,0,1
-70.7130337770871,-33.4585826912382,1543,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,RUTA 68,0,LIBERTADOR BERNARDO O`HIGGINS / RUTA 68,0,1,0,0,1
-70.709065499673,-33.4597210998488,1544,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS CATALPAS, ,99,LAS CATALPAS 99,0,0,1,0,1
-70.7074828565486,-33.4574784343822,1545,1,2013,13117,LO PRADO,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,HERA,0,LIBERTADOR BERNARDO O`HIGGINS / HERA,0,1,0,0,1
-70.7055741642163,-33.4572646565386,1546,2,2013,13117,LO PRADO,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,LAS REJAS NORTE,0,LIBERTADOR BERNARDO O`HIGGINS / LAS REJAS NORTE,0,0,1,1,2
-70.7055597103123,-33.4573774189327,1547,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,ALAMEDA,LAS REJAS SUR,0,ALAMEDA / LAS REJAS SUR,0,1,0,0,1
-70.7054361758388,-33.4603993874218,1548,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS REJAS SUR,ISAAC THOMPSON,0,LAS REJAS SUR / ISAAC THOMPSON,0,0,0,1,1
-70.705354148675,-33.4616570119615,1549,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LAS REJAS SUR,LOS JAZMINES,0,LAS REJAS SUR / LOS JAZMINES,1,0,0,0,1
-70.703151423899,-33.4566953047445,1550,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,4860,LIBERTADOR BERNARDO O`HIGGINS 4860,0,2,0,1,2
-70.6961373990217,-33.4597239974645,1551,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,GENERAL AMENGUAL, ,470,GENERAL AMENGUAL 470,0,0,1,1,1
-70.6959905388322,-33.460647023841,1552,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,5 DE ABRIL,GENERAL AMENGUAL,0,5 DE ABRIL / GENERAL AMENGUAL,0,0,0,1,1
-70.6945785996226,-33.4600639996538,1553,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,5 DE ABRIL, ,4372,5 DE ABRIL 4372,0,2,0,0,2
-70.6922093788597,-33.454190999515,1554,5,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,TORO MAZOTTE,ALAMEDA,0,TORO MAZOTTE / ALAMEDA,0,1,3,2,5
-70.691121969903,-33.453928147466,1555,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,GENERAL VELASQUEZ,0,LIBERTADOR BERNARDO O`HIGGINS / GENERAL VELASQUEZ,0,0,0,2,2
-70.6893937724046,-33.4537216990971,1556,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,3920,LIBERTADOR BERNARDO O`HIGGINS 3920,0,0,0,0,1
-70.6888996183227,-33.4536037125413,1557,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,3850,LIBERTADOR BERNARDO O`HIGGINS 3850,1,0,0,0,1
-70.6886729756773,-33.4536398994617,1558,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,3850,LIBERTADOR BERNARDO O`HIGGINS 3850,1,0,0,0,1
-70.6882911999788,-33.4508145002889,1559,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,ECUADOR, ,3744,ECUADOR 3744,0,0,1,0,1
-70.6880897338541,-33.4535225064585,1560,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS, ,3714,LIBERTADOR BERNARDO O`HIGGINS 3714,0,0,1,0,1
-70.6880851446137,-33.4531449476812,1561,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,ALAMEDA, ,3815,ALAMEDA 3815,0,1,0,0,1
-70.6877409461877,-33.4531374779122,1562,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,RUIZ TAGLE,0,LIBERTADOR BERNARDO O`HIGGINS / RUIZ TAGLE,0,1,0,1,1
-70.6869354459141,-33.4555110801722,1563,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,RUIZ TAGLE,CORONEL SOUPER,0,RUIZ TAGLE / CORONEL SOUPER,0,0,0,1,1
-70.6866345633344,-33.4590328244053,1564,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,RUIZ TAGLE,ARICA,0,RUIZ TAGLE / ARICA,1,0,0,0,1
-70.6859232373675,-33.4528647522065,1565,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,JOTABECHE,0,LIBERTADOR BERNARDO O`HIGGINS / JOTABECHE,0,1,0,0,1
-70.6850534490574,-33.4525194224333,1566,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,LIBERTADOR BERNARDO O`HIGGINS,BERNAL DEL MERCADO,0,LIBERTADOR BERNARDO O`HIGGINS / BERNAL DEL MERCADO,0,0,0,0,1
-70.6844795925591,-33.4669122408072,1567,2,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,BERNAL DEL MERCADO,ANTOFAGASTA,0,BERNAL DEL MERCADO / ANTOFAGASTA,0,0,1,1,2
-70.683455500371,-33.4843668001876,1568,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,LA RURAL, ,3674,LA RURAL 3674,0,0,0,1,1
-70.6832974346289,-33.4749869063206,1569,1,2013,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,BUZETA, ,3659,BUZETA 3659,0,1,0,0,1
-70.6786348095488,-33.4828856932201,1570,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,MARIQUINA,VALENZUELA LLANOS,0,MARIQUINA / VALENZUELA LLANOS,0,0,0,1,1
-70.6760484492765,-33.4857253520434,1571,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,LA CORUNA,CARLOS MARX,0,LA CORUNA / CARLOS MARX,0,1,0,0,1
-70.6750117000299,-33.4822768000342,1572,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,JOSE BACKAUSE, ,2850,JOSE BACKAUSE 2850,0,0,0,1,1
-70.6731985714569,-33.4785043095262,1573,3,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ALCALDE CARLOS VALDOVINOS,BELEN,0,ALCALDE CARLOS VALDOVINOS / BELEN,0,0,0,3,3
-70.6723162978588,-33.4856224749972,1574,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,SALESIANOS,CLOTARIO BLEST,0,SALESIANOS / CLOTARIO BLEST,0,1,0,0,1
-70.6705608392113,-33.4820399392917,1575,2,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,CLOTARIO BLEST,TARTINI,0,CLOTARIO BLEST / TARTINI,0,0,0,2,2
-70.6703195583009,-33.4768116055711,1576,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ISABEL RIQUELME,FRANCISCO PIZARRO,0,ISABEL RIQUELME / FRANCISCO PIZARRO,0,0,0,1,1
-70.6690766097977,-33.4787041343883,1577,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,CLOTARIO BLEST,ALCALDE CARLOS VALDOVINOS,0,CLOTARIO BLEST / ALCALDE CARLOS VALDOVINOS,0,1,0,0,1
-70.6660051749988,-33.4786815685995,1578,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ALCALDE CARLOS VALDOVINOS,TRES PUNTAS,0,ALCALDE CARLOS VALDOVINOS / TRES PUNTAS,0,0,1,0,1
-70.664812621805,-33.4773997513973,1579,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ALCALDE FLORES,CLUB HIPICO,0,ALCALDE FLORES / CLUB HIPICO,0,0,0,0,1
-70.664805928151,-33.4786722956899,1580,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,CLUB HIPICO,ALCALDE CARLOS VALDOVINOS,0,CLUB HIPICO / ALCALDE CARLOS VALDOVINOS,0,1,0,0,1
-70.6636031757459,-33.4664318364601,1581,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,BEAUCHEFF,LARRAIN,0,BEAUCHEFF / LARRAIN,0,0,1,0,1
-70.6625024091588,-33.4787736717675,1582,2,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ALCALDE CARLOS VALDOVINOS,URZUA,0,ALCALDE CARLOS VALDOVINOS / URZUA,1,0,0,1,2
-70.6611631000969,-33.478913299609,1583,1,2013,13121,PEDRO AGUIRRE CERDA,13,REGION METROPOLITANA,ALCALDE CARLOS VALDOVINOS, ,1932,ALCALDE CARLOS VALDOVINOS 1932,0,0,0,1,1
-70.6580714143643,-33.4730732866029,1584,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,PEDRO MONTT, ,1606,PEDRO MONTT 1606,0,0,0,1,1
-70.6566392952672,-33.4700620731061,1585,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,MANUEL RODRIGUEZ,GENERAL RONDIZZONI,0,MANUEL RODRIGUEZ / GENERAL RONDIZZONI,0,1,0,1,1
-70.6553575221319,-33.4731928379791,1586,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,MANUEL RODRIGUEZ,PEDRO MONTT,0,MANUEL RODRIGUEZ / PEDRO MONTT,1,0,0,0,1
-70.6520798134326,-33.4734391110261,1587,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,FRANKLIN, ,1069,FRANKLIN 1069,0,0,0,1,1
-70.6519890979185,-33.4734336305576,1588,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,FRANKLIN, ,793,FRANKLIN 793,0,0,0,1,1
-70.6499018326035,-33.471186812921,1589,1,2013,13101,SANTIAGO,13,REGION METROPOLITANA,NATANIEL COX,GENERAL GANA,0,NATANIEL COX / GENERAL GANA,1,0,0,0,1
