X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.6857025098416,-33.4642574873539,1791,1204 JOTABECHE,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060315,0,JOTABECHE, ,1204,1,1,2,BIDIRECCIONAL,ASFALTO,0,1,0,0,1
-70.6855967355522,-33.5114778127601,1792,SANTA ANITA @ 6 SUR,LO ESPEJO, , ,2017,1,13116,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131160389,131160052,SANTA ANITA,6 SUR, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,0,3,1
-70.6855783,-33.4531937,1793,46 JOTABECHE,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060315,0,JOTABECHE, ,46,2, ,1,UNIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.6855781,-33.5007695,1794,COOPERACION / LO OVALLE,PEDRO AGUIRRE CERDA,SANTIAGO,CHILE,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210162,131210323,COOPERACION,LO OVALLE, ,1,1,2,BIDIRECCIONAL,ASFALTO,0,0,0,1,1
-70.6855284,-33.3050211,1795,180 FERMIN VERGARA,COLINA, , ,2017,1,13301,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,133010278,0,FERMIN VERGARA, ,180,1,1,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.6855034,-33.4598594,1796,JOTABECHE / RAMON SUBERCASEAUX,ESTACION CENTRAL,SANTIAGO,CHILE,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131060652,131060315,RAMON SUBERCASEAUX,JOTABECHE, ,2,2,2,BIDIRECCIONAL,CONCRETO,0,0,0,0,1
-70.6855027,-33.5448572,1797,CAPRICORNIO / PSJE 17,EL BOSQUE,SANTIAGO,CHILE,2017,1,13105,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131050107,131050687,CAPRICORNIO,PASAJE 17, ,1,1,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.685358,-33.4867012,1798,4201 DEPARTAMENTAL,PEDRO AGUIRRE CERDA, , ,2017,1,13121,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131210173,0,DEPARTAMENTAL, ,4201,2, ,1,UNIDIRECCIONAL,ASFALTO,1,0,0,0,1
-70.6851319,-33.3754934,1799,5669 INDEPENDENCIA,CONCHALI, , ,2017,1,13104,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131040343,0,INDEPENDENCIA, ,5669,2,2,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,0,0,0,0,1
-70.6851113,-33.4523913,1800,3701 LIBERTADOR BERNARDO O`HIGGINS,ESTACION CENTRAL, , ,2017,1,13106,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131060407,0,LIBERTADOR BERNARDO O`HIGGINS, ,3701,5,5,3,BIDIRECCIONAL CON BANDEJON,CONCRETO,1,1,0,0,1
