X,Y,FID,OBJECTID,ICOUNT,Region,Comuna,Match_Addr,Calle1,Calle2,Numero,Fallecidos,Graves,Mgrave,Leve,Ileso
-70.7843872828526,-33.5156804618001,12,12,1,REGION METROPOLITANA,MAIPU,"LAS TINAJAS & CHACARILLAS, MAIPU",LAS TINAJAS,CHACARILLAS,0,0,0,0,1,1
-70.7805607458041,-33.5082901111543,13,13,1,REGION METROPOLITANA,MAIPU,"1688 CAMINO A RINCONADA, MAIPU",CAMINO A RINCONADA, ,1688,0,0,1,1,0
-70.7790816962851,-33.443956191591,14,14,2,REGION METROPOLITANA,PUDAHUEL,"AMERICO VESPUCIO & SAN PABLO, PUDAHUEL",AMERICO VESPUCIO,SAN PABLO,0,1,0,1,0,2
-70.777393037781,-33.4264341257326,15,15,1,REGION METROPOLITANA,PUDAHUEL,"RIO ITATA & EL RETIRO, PUDAHUEL",JOSE JOAQUIN PEREZ, ,1376,0,1,0,0,1
-70.7781660628087,-33.5063003521311,16,16,1,REGION METROPOLITANA,MAIPU,"3 PONIENTE & MAIPU, MAIPU",3 PONIENTE,MAIPU,0,0,0,1,0,1
-70.7779522879518,-33.520755021236,17,17,1,REGION METROPOLITANA,MAIPU,"901 3 PONIENTE, MAIPU",3 PONIENTE, ,900,0,1,0,0,1
-70.777172722707,-33.5329499862385,18,18,1,REGION METROPOLITANA,MAIPU,"ALFREDO SILVA CARVALLO & SERGIO SILVA ACUNA, MAIPU",ALFREDO SILVA CARVALLO,SERGIO SILVA ACUNA,0,0,0,0,1,1
-70.7770810083834,-33.5288826432151,19,19,1,REGION METROPOLITANA,MAIPU,"3 PONIENTE & PRESIDENTE EDUARDO FREI MONTALVA, MAIPU",3 PONIENTE,PDTE EDUARDO FREI MONTALVA,0,0,1,0,0,1
-70.7772009493297,-33.5347737567677,20,20,1,REGION METROPOLITANA,MAIPU,"CERRO BARON & RENE OLIVARES BECERRA, MAIPU",RENE OLIVARES BECERRA, ,1700,0,1,0,0,1
-70.7757488350206,-33.5055286941232,21,21,1,REGION METROPOLITANA,MAIPU,"EL OLIMPO & DEL COLECTOR PONIENTE, MAIPU",EL OLIMPO,DEL COLECTOR PONIENTE,0,0,0,0,1,1
-70.7755459264454,-33.5093461938886,22,22,1,REGION METROPOLITANA,MAIPU,"CAMINO A RINCONADA & EL OLIMPO, MAIPU",CAMINO A RINCONADA,EL OLIMPO,0,0,0,1,0,1
-70.7753246001753,-33.5005197984534,23,23,1,REGION METROPOLITANA,MAIPU,"EL OLIMPO & EGEO, MAIPU",EL OLIMPO,EGEO,0,0,0,1,0,1
-70.7754980394762,-33.5119550197866,24,24,1,REGION METROPOLITANA,MAIPU,"EL OLIMPO & JOSE MANUEL BORGONO, MAIPU",EL OLIMPO,JOSE MANUEL BORGONO,0,0,0,1,0,1
-70.7744907083831,-33.5313244618829,25,25,1,REGION METROPOLITANA,MAIPU,"3 PONIENTE & ALFREDO SILVA CARVALLO, MAIPU",3 PONIENTE,ALFREDO SILVA CARVALLO,0,1,0,0,0,1
-70.7704509573809,-33.5248803799545,26,26,1,REGION METROPOLITANA,MAIPU,"NUEVA SAN MARTIN & DEL REY, MAIPU",NVA SAN MARTIN,DEL REY,0,0,2,0,0,0
-70.7686864743484,-33.442857703563,27,27,1,REGION METROPOLITANA,PUDAHUEL,"9389 SAN PABLO, PUDAHUEL",SAN PABLO, ,9389,0,0,0,1,1
-70.7700812009326,-33.5362888200335,28,28,1,REGION METROPOLITANA,MAIPU,"CAMINO A MELIPILLA & SANTA MARTA, MAIPU",CAMINO A MELIPILLA,STA MARTA,0,3,0,0,0,1
-70.7674811282006,-33.4365143983318,29,29,1,REGION METROPOLITANA,PUDAHUEL,"SERRANO & ATACAMA, PUDAHUEL",SERRANO,ATACAMA,0,0,1,0,0,1
-70.7671965176584,-33.4353647116785,30,30,1,REGION METROPOLITANA,PUDAHUEL,"CHANARCILLO & SERRANO, PUDAHUEL",CHANARCILLO,SERRANO,0,0,2,0,0,1
-70.7667623533908,-33.4150077401792,31,31,1,REGION METROPOLITANA,CERRO NAVIA,"8770 COSTANERA SUR, CERRO NAVIA",COST SUR, ,8770,0,1,0,0,1
-70.7665017387849,-33.4512262574353,32,32,1,REGION METROPOLITANA,PUDAHUEL,"655 SERRANO, PUDAHUEL",SERRANO, ,655,0,1,0,0,2
-70.7672361894526,-33.5250886259485,33,33,1,REGION METROPOLITANA,MAIPU,"NUEVA SAN MARTIN & LOS DIAMANTES, MAIPU",NVA SAN MARTIN,LOS DIAMANTES,0,0,1,0,0,1
-70.7641541955091,-33.3761394883009,34,34,1,REGION METROPOLITANA,QUILICURA,"491 ANTILLANCA, QUILICURA",ANTILLANCA, ,491,1,0,0,0,1
-70.7668851452071,-33.5129484229635,35,35,1,REGION METROPOLITANA,MAIPU,"690 DEL PONTIFICE, MAIPU",DEL PONTIFICE, ,690,1,0,0,0,1
-70.7641220664809,-33.4420718777539,36,36,2,REGION METROPOLITANA,PUDAHUEL,"SAN PABLO & FEDERICO ERRAZURIZ, PUDAHUEL",SAN PABLO,FEDERICO ERRAZURIZ,0,0,2,0,0,2
-70.7642826196505,-33.4596177173289,37,37,1,REGION METROPOLITANA,PUDAHUEL,"195 AMERICO VESPUCIO, PUDAHUEL",AMERICO VESPUCIO, ,195,0,0,0,1,1
-70.7636491689181,-33.4338925992386,38,38,1,REGION METROPOLITANA,PUDAHUEL,"9135 SAN FRANCISCO, PUDAHUEL",SAN FRANCISCO, ,9135,0,1,0,0,1
-70.7637398537452,-33.4394181121031,39,39,1,REGION METROPOLITANA,PUDAHUEL,"ANDES & FEDERICO ERRAZURIZ, PUDAHUEL",FEDERICO ERRAZURIZ, ,921,0,0,0,1,1
-70.7632319008068,-33.4143426892118,40,40,1,REGION METROPOLITANA,CERRO NAVIA,"LA CAPILLA & SERRANO, CERRO NAVIA",LA CAPILLA,SERRANO,0,0,0,0,1,0
-70.7631790999268,-33.418797448016,41,41,1,REGION METROPOLITANA,CERRO NAVIA,"SERRANO & AHORRO, CERRO NAVIA",AHORRO, ,8537,0,0,0,1,1
-70.7634072415375,-33.4534246641715,42,42,1,REGION METROPOLITANA,PUDAHUEL,"LA TRAVESIA & EL PORTEZUELO, PUDAHUEL",TRAVESIA,ISLA PORTEZUELO,0,0,0,0,1,1
-70.7604289821965,-33.434847759928,43,43,1,REGION METROPOLITANA,PUDAHUEL,"SAN FRANCISCO & PELEQUEN, PUDAHUEL",SAN FRANCISCO,PELEQUEN,0,0,1,0,0,1
-70.7605059096182,-33.442446916765,44,44,1,REGION METROPOLITANA,PUDAHUEL,"LUIS BELTRAN & SAN PABLO, PUDAHUEL",LUIS BELTRAN,SAN PABLO,0,0,0,0,2,1
-70.7586101627167,-33.37362443771,45,45,1,REGION METROPOLITANA,QUILICURA,"CAMINO LO ECHEVERS & ANTILLANCA, QUILICURA",LO ECHEVERS,ANTILLANCA,0,1,0,0,0,1
-70.7577277689676,-33.3658334324727,46,46,1,REGION METROPOLITANA,QUILICURA,"764 CALLE B, QUILICURA",CALLE B, ,764,0,1,0,0,0
-70.7592389804113,-33.4444147767649,47,47,1,REGION METROPOLITANA,PUDAHUEL,"RUFINA CASTILLO & AURORA, PUDAHUEL",RUFINA CASTILLO,AURORA,0,0,0,0,1,1
-70.7583925833719,-33.4355074670695,48,48,1,REGION METROPOLITANA,PUDAHUEL,"SANTA VICTORIA & SAN FRANCISCO, PUDAHUEL",VICTORIA PONIENTE,SAN FRANCISCO,0,0,1,0,1,1
-70.759962537525,-33.5293921528993,49,49,1,REGION METROPOLITANA,MAIPU,"CAMINO A MELIPILLA & LEOPOLDO INFANTE, MAIPU",CAMINO A MELIPILLA,LEOPOLDO INFANTE,0,0,0,0,1,1
-70.757837163454,-33.4545172154117,50,50,1,REGION METROPOLITANA,PUDAHUEL,"LA TRAVESIA & EL GUINDO, PUDAHUEL",TRAVESIA,EL GUINDO,0,0,0,1,0,1
-70.7588487015113,-33.5090523847675,51,51,1,REGION METROPOLITANA,MAIPU,"MONUMENTO & CHACABUCO, MAIPU",MONUMENTO,CHACABUCO,0,0,0,0,1,1
-70.7588355431919,-33.5106452299902,52,52,1,REGION METROPOLITANA,MAIPU,"MONUMENTO & 5 DE ABRIL, MAIPU",MONUMENTO,5 DE ABRIL,0,0,0,0,1,1
-70.7570149935677,-33.4435382549276,53,53,1,REGION METROPOLITANA,PUDAHUEL,"8859 SAN PABLO, PUDAHUEL",SAN PABLO, ,8859,0,0,0,1,1
-70.7560093987572,-33.4195165703352,54,54,1,REGION METROPOLITANA,CERRO NAVIA,"DIAGONAL RENY & RIO DOURO, CERRO NAVIA",DIAG RENY,RIO DOURO,0,0,1,0,0,1
-70.7539579682939,-33.3618376229368,55,55,3,REGION METROPOLITANA,QUILICURA,"SAN LUIS & LO MARCOLETA, QUILICURA",SAN LUIS,LO MARCOLETA,0,0,1,0,1,2
-70.7554269614286,-33.4567604146794,56,56,1,REGION METROPOLITANA,PUDAHUEL,"OCEANIA & EL ABETO, PUDAHUEL",OCEANIA,EL ABETO,0,0,0,0,1,1
-70.7545792689699,-33.4316861860487,57,57,1,REGION METROPOLITANA,PUDAHUEL,"SAN DANIEL & ZAPALLAR, PUDAHUEL",ZAPALLAR, ,1324,0,0,0,1,1
-70.7531834658242,-33.3634903815259,58,58,1,REGION METROPOLITANA,QUILICURA,"SAN LUIS & MANUEL ANTONIO MATTA, QUILICURA",SAN LUIS,MANUEL ANTONIO MATTA,0,0,0,0,1,0
-70.7545052668502,-33.4301736940307,59,59,1,REGION METROPOLITANA,PUDAHUEL,"8951 PABLO NERUDA, PUDAHUEL",PABLO NERUDA, ,8950,0,0,0,1,1
-70.7549732392193,-33.4551165377589,60,60,1,REGION METROPOLITANA,PUDAHUEL,"OCEANIA & LA TRAVESIA, PUDAHUEL",OCEANIA,TRAVESIA,0,0,0,0,1,0
-70.755314115247,-33.4791025652091,61,61,1,REGION METROPOLITANA,MAIPU,"SANTA ELENA & AMERICO VESPUCIO, MAIPU",AMERICO VESPUCIO, ,399,0,0,0,1,1
-70.7546739140607,-33.4652405247249,62,62,1,REGION METROPOLITANA,PUDAHUEL,"LOS MARES & TAURO, PUDAHUEL",LOS MARES,TAURO,0,0,0,0,1,1
-70.7538828701149,-33.4451334413699,63,63,1,REGION METROPOLITANA,PUDAHUEL,"LA ESTRELLA & LUCERO, PUDAHUEL",LA ESTRELLA,LUCERO,0,0,0,0,1,1
-70.7532168112063,-33.4166482107805,64,64,1,REGION METROPOLITANA,CERRO NAVIA,"SALVADOR GUTIERREZ & LA ESTRELLA, CERRO NAVIA",SALVADOR GUTIERREZ,LA ESTRELLA,0,0,1,0,0,1
-70.7537450754744,-33.4440777868374,65,65,2,REGION METROPOLITANA,PUDAHUEL,"SAN PABLO & LA ESTRELLA, PUDAHUEL",SAN PABLO,LA ESTRELLA,0,0,0,1,1,2
-70.7529601347552,-33.4174846776059,66,66,1,REGION METROPOLITANA,CERRO NAVIA,"1687 LA ESTRELLA, CERRO NAVIA",LA ESTRELLA, ,1687,0,1,0,0,1
-70.7528513646084,-33.4166437441452,67,67,1,REGION METROPOLITANA,CERRO NAVIA,"ALIJO & SALVADOR GUTIERREZ, CERRO NAVIA",ALIJO,SALVADOR GUTIERREZ,0,0,0,0,1,1
-70.7516755491517,-33.3614209660544,68,68,1,REGION METROPOLITANA,QUILICURA,"LO MARCOLETA & VOLCAN NEVADOS DE ARGUELLE, QUILICURA",LO MARCOLETA,VOLCAN NEVADOS DE ARGUELLE,0,0,0,0,1,1
-70.7525040303886,-33.4382456192868,69,69,1,REGION METROPOLITANA,PUDAHUEL,"LA ESTRELLA & EL LAZO, PUDAHUEL",LA ESTRELLA,EL LAZO,0,0,0,0,1,1
-70.7520353804043,-33.4218543582897,70,70,1,REGION METROPOLITANA,CERRO NAVIA,"MAPOCHO NORTE & LA ESTRELLA, CERRO NAVIA",MAPOCHO NORTE,LA ESTRELLA,0,0,0,0,1,1
-70.7519917320543,-33.4366200264766,71,71,1,REGION METROPOLITANA,PUDAHUEL,"SAN FRANCISCO & LA ESTRELLA, PUDAHUEL",SAN FRANCISCO,LA ESTRELLA,0,0,0,1,0,1
-70.7504730331023,-33.3630327094868,72,72,1,REGION METROPOLITANA,QUILICURA,"552 MANUEL ANTONIO MATTA, QUILICURA",MANUEL ANTONIO MATTA, ,552,0,0,0,1,1
-70.7515422829047,-33.4243116778927,73,73,1,REGION METROPOLITANA,CERRO NAVIA,"1478 LA ESTRELLA, CERRO NAVIA",LA ESTRELLA, ,1478,1,0,0,0,1
-70.7521694028705,-33.4601445447166,74,74,1,REGION METROPOLITANA,PUDAHUEL,"LA ESTRELLA & LAGUNA SUR, PUDAHUEL",LA ESTRELLA,LAGUNA SUR,0,0,1,0,0,1
-70.7518536991459,-33.4481812585942,75,75,1,REGION METROPOLITANA,PUDAHUEL,"8629 SANTA CORINA, PUDAHUEL",STA CORINA, ,8629,0,1,0,0,1
-70.7498011040431,-33.3544797961532,76,76,1,REGION METROPOLITANA,QUILICURA,"SANTA LAURA & RIGOBERTO JARA, QUILICURA",STA LAURA,RIGOBERTO JARA,0,0,1,0,0,1
-70.7508566655085,-33.4201199552551,77,77,1,REGION METROPOLITANA,CERRO NAVIA,"8013 LUIS LAZZARINI, CERRO NAVIA",LUIS LAZZARINI, ,8013,0,0,0,1,1
-70.7506357790278,-33.4291122929897,78,78,1,REGION METROPOLITANA,CERRO NAVIA,"JOSE JOAQUIN PEREZ & LA ESTRELLA, PUDAHUEL",JOSE JOAQUIN PEREZ,LA ESTRELLA,0,0,1,0,0,1
-70.7510006415187,-33.4558703539198,79,79,1,REGION METROPOLITANA,PUDAHUEL,"LA TRAVESIA & LA ESTRELLA, PUDAHUEL",LA TRAVESIA,LA ESTRELLA,0,0,0,0,1,1
-70.7490850323993,-33.3627518975827,80,80,1,REGION METROPOLITANA,QUILICURA,"VOLCAN VILLARRICA & MANUEL ANTONIO MATTA, QUILICURA",VILLARRICA,MANUEL ANTONIO MATTA,0,0,0,0,1,1
-70.7490140989472,-33.3609717183228,81,81,2,REGION METROPOLITANA,QUILICURA,"LO MARCOLETA & VOLCAN VILLARRICA, QUILICURA",LO MARCOLETA,VOLCAN VILLARRICA,0,0,0,0,3,2
-70.7503911521114,-33.4479410677421,82,82,1,REGION METROPOLITANA,PUDAHUEL,"EL SALITRE & EL COLON, PUDAHUEL",EL SALITRE,EL COLON,0,0,1,0,0,1
-70.7499104693566,-33.4460167472874,83,83,1,REGION METROPOLITANA,PUDAHUEL,"EL SALITRE & EL COBRE, PUDAHUEL",EL SALITRE,EL COBRE,0,0,1,0,0,1
-70.7482128285529,-33.3760914054718,84,84,1,REGION METROPOLITANA,QUILICURA,"AMERICO VESPUCIO & CAMINO LO ECHEVERS, QUILICURA",AMERICO VESPUCIO,LO ECHEVERS,0,0,1,0,0,0
-70.7492767802858,-33.4338072936096,85,85,1,REGION METROPOLITANA,PUDAHUEL,"LA ESPUELA & FLORIDA, PUDAHUEL",LA ESPUELA,FLORIDA,0,0,0,1,0,1
-70.7471804622285,-33.3606877858099,86,86,1,REGION METROPOLITANA,QUILICURA,"VOLCAN LLAIMA & LO MARCOLETA, QUILICURA",VOLCAN LLAIMA,LO MARCOLETA,0,0,1,0,0,1
-70.7472192007091,-33.3652095023085,87,87,1,REGION METROPOLITANA,QUILICURA,"SAN LUIS & VOLCAN LLAIMA, QUILICURA",SAN LUIS,VOLCAN LLAIMA,0,0,0,0,1,1
-70.7486238976138,-33.4446224889737,88,88,1,REGION METROPOLITANA,PUDAHUEL,"8528 SAN PABLO, PUDAHUEL",SAN PABLO, ,8528,0,1,0,0,2
-70.7467571654605,-33.3623048646118,89,89,2,REGION METROPOLITANA,QUILICURA,"MANUEL ANTONIO MATTA & VOLCAN LLAIMA, QUILICURA",MANUEL ANTONIO MATTA,VOLCAN LLAIMA,0,0,0,0,2,3
-70.7488597226059,-33.4746980045434,90,90,1,REGION METROPOLITANA,MAIPU,"ARQUITECTO HUGO BRAVO & LONGITUDINAL, MAIPU",ARQTO HUGO BRAVO,LONGITUDINAL,0,0,0,0,2,1
-70.7463839978304,-33.3604467674054,91,91,1,REGION METROPOLITANA,QUILICURA,"SANTA LAURA & LO MARCOLETA, QUILICURA",STA LAURA,LO MARCOLETA,0,0,0,0,1,1
-70.7480512919741,-33.4700542801601,92,92,1,REGION METROPOLITANA,MAIPU,"LONGITUDINAL & EL DESCANSO, MAIPU",LONGITUDINAL,EL DESCANSO,0,0,0,0,1,1
-70.7477190485393,-33.4565855770211,93,93,1,REGION METROPOLITANA,PUDAHUEL,"8340 LA TRAVESIA, PUDAHUEL",TRAVESIA, ,8340,0,1,0,0,1
-70.7468856938611,-33.4223238832447,94,94,1,REGION METROPOLITANA,CERRO NAVIA,"7842 MAPOCHO SUR, CERRO NAVIA",MAPOCHO SUR, ,7842,0,1,0,0,1
-70.7453338340896,-33.3548766937678,95,95,1,REGION METROPOLITANA,QUILICURA,"269 RIGOBERTO JARA, QUILICURA",RIGOBERTO JARA, ,268,0,0,0,1,0
-70.7451512679564,-33.3603005902145,96,96,1,REGION METROPOLITANA,QUILICURA,"LO MARCOLETA & SAN ENRIQUE, QUILICURA",LO MARCOLETA,SAN ENRIQUE,0,0,0,0,1,1
-70.7469492575644,-33.4636142856305,97,97,1,REGION METROPOLITANA,PUDAHUEL,"MAR DE DRAKE & KOIKO, PUDAHUEL",MAR DE DRAKE,KOIKO,0,0,1,0,1,1
-70.7467914572147,-33.4629489441967,98,98,1,REGION METROPOLITANA,PUDAHUEL,"MAR DE DRAKE & PUERTO CISNES, PUDAHUEL",MAR DE DRAKE,PTO CISNES,0,0,0,0,2,0
-70.7475606642227,-33.5161538855617,99,99,1,REGION METROPOLITANA,MAIPU,"4 ALAMOS & SEGUNDA TRANSVERSAL, MAIPU",4 ALAMOS,SEGUNDA TRANSVERSAL,0,0,0,0,1,1
-70.7474356662589,-33.5136530435514,100,100,1,REGION METROPOLITANA,MAIPU,"1450 SEGUNDA TRANSVERSAL, MAIPU",SEGUNDA TRANSVERSAL, ,1450,0,0,0,1,1
-70.7463468048253,-33.4612079159595,101,101,1,REGION METROPOLITANA,PUDAHUEL,"LAGUNA SUR & MAR DE DRAKE, PUDAHUEL",LAGUNA SUR,MAR DE DRAKE,0,0,0,0,1,1
-70.7444224627978,-33.3667485994884,102,102,1,REGION METROPOLITANA,QUILICURA,"281 SOCAIRE, QUILICURA",SOCAIRE, ,281,0,0,0,1,0
-70.7453509576082,-33.4222839047096,103,103,1,REGION METROPOLITANA,CERRO NAVIA,"MAPOCHO SUR & KARLOVACK, CERRO NAVIA",MAPOCHO SUR,KARLOVACK,0,0,0,0,1,1
-70.7456372476288,-33.444765314255,104,104,1,REGION METROPOLITANA,PUDAHUEL,"8444 SAN PABLO, PUDAHUEL",SAN PABLO, ,8444,0,0,1,0,1
