X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-73.1393506,-36.8500338,3882,8,REGION BIO BIO,8108,SAN PEDRO DE LA PAZ,LAS MARGARITAS, ,1809,"Las Margaritas, San Pedro de la Paz, Bío Bío, Chile",-36.8500338,-73.1393506,1,GEOMETRIC_CENTER,2020,1281836,2020/05/18 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,07:20:00
-73.0506589,-36.8227251,3883,8,REGION BIO BIO,8101,CONCEPCION,LOS CARRERA,COLO COLO,0,"Colo Colo & Avenida los Carrera, Concepción, Bío Bío, Chile",-36.8227251,-73.0506589,1,GEOMETRIC_CENTER,2020,1281702,2020/05/19 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,1,0,0,19:00:00
-73.1056644,-36.7941267,3884,8,REGION BIO BIO,8112,HUALPEN,ALEMANIA, ,3806,"Alemania 3806, Hualpén, Bío Bío, Chile",-36.7941267,-73.1056644,1,ROOFTOP,2020,1281738,2020/05/15 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,0,1,0,11:00:00
-73.1095074,-36.788741,3885,8,REGION BIO BIO,8112,HUALPEN,GRAN BRETAÑA,O-60,0,"Gran Bretaña, Hualpén, Bío Bío, Chile",-36.788741,-73.1095074,1,GEOMETRIC_CENTER,2020,1281741,2020/05/15 00:00:00+00,COLISION,COLISION,URBANA,FALLAS MECANICAS,FALLAS MECANICAS FRENOS,0,0,0,1,15:10:00
-73.0944536,-36.791062,3886,8,REGION BIO BIO,8112,HUALPEN,RECONQUISTA,CURANILAHUE,0,"La Reconquista & Curanilahue, Hualpén, Bío Bío, Chile",-36.791062,-73.0944536,1,GEOMETRIC_CENTER,2020,1281746,2020/05/19 00:00:00+00,CHOQUE,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,11:50:00
-72.4074665,-37.465443,3887,8,REGION BIO BIO,8301,LOS ANGELES,CAMINO VILLA GENESIS, ,1,"Los Angeles, Los Ángeles, Bío Bío, Chile",-37.465443,-72.4074665,1,GEOMETRIC_CENTER,2020,1281785,2020/05/15 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,1,02:40:00
-73.1225102,-36.8252916,3888,8,REGION BIO BIO,8108,SAN PEDRO DE LA PAZ,COSTANERA,AVIACION,0,"Costanera & Aviación, San Pedro de la Paz, Bío Bío, Chile",-36.8252916,-73.1225102,1,GEOMETRIC_CENTER,2020,1281820,2020/05/09 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,04:30:00
-72.9499054,-36.6130151,3889,8,REGION BIO BIO,8111,TOME,SANTIAGO OSORIO, ,1915,"Santiago Osorio 1915, Tome, Tomé, Bío Bío, Chile",-36.6130151,-72.9499054,1,ROOFTOP,2020,1281831,2020/05/23 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,FALLAS MECANICAS,FALLAS MECANICAS FRENOS,0,0,1,1,18:10:00
-73.3658055,-37.6905399,3890,8,REGION BIO BIO,8206,LOS ALAMOS,BARROS ARANA,LAS ARAUCARIAS,0,"Puente Huentelí, Los Alamos, Bío Bío, Chile",-37.6905399,-73.3658055,1,GEOMETRIC_CENTER,2020,1281849,2020/05/15 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FORMA SORPRESIVA O DESCUIDADA,0,0,0,1,18:30:00
-73.0938803,-36.8429936,3891,8,REGION BIO BIO,8108,SAN PEDRO DE LA PAZ,MICHILAMONCO, ,1120,"Av. Michimalonco 1120, San Pedro de la Paz, Bío Bío, Chile",-36.8429936,-73.0938803,1,ROOFTOP,2020,1281859,2020/05/15 00:00:00+00,CHOQUE LADO/FRENTE,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,15:50:00
-73.0715095,-36.8581001,3892,8,REGION BIO BIO,8108,SAN PEDRO DE LA PAZ,ERNESTO PINTO LAGARRIGUE,PUENTE PATRICIO AYLWIN,0,"Calle Ing. Ernesto Pinto Lagarrigue, San Pedro de la Paz, Bío Bío, Chile",-36.8581001,-73.0715095,1,GEOMETRIC_CENTER,2020,1281861,2020/05/17 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,1,22:35:00
-72.3550077,-37.4810797,3893,8,REGION BIO BIO,8301,LOS ANGELES,VICUÑA MACKENNA,MANUEL RODRIGUEZ,0,"Avenida Vicuña Mackenna & Manuel Rodríguez, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4810797,-72.3550077,1,GEOMETRIC_CENTER,2020,1281902,2020/05/17 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,12:40:00
-73.0417691,-36.8189691,3894,8,REGION BIO BIO,8101,CONCEPCION,LOS CARRERA,LAUTARO,0,"Lautaro & Avenida los Carrera, Concepción, Bío Bío, Chile",-36.8189691,-73.0417691,1,GEOMETRIC_CENTER,2020,1281922,2020/05/02 00:00:00+00,CHOQUE FRENTE/LADO,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,1,21:41:00
-72.3506639,-37.4663,3895,8,REGION BIO BIO,8301,LOS ANGELES,TUCAPEL,COLON,0,"Colón & Avenida Tucapel, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4663,-72.3506639,1,GEOMETRIC_CENTER,2020,1281939,2020/05/17 00:00:00+00,COLISION FRONTAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,2,17:00:00
-73.0416395,-36.8054984,3896,8,REGION BIO BIO,8101,CONCEPCION,ALONSO DE RIVERA,LIENTUR,0,"Juan de Dios Rivera 2280, Concepción, Bío Bío, Chile",-36.8054984,-73.0416395,1,ROOFTOP,2020,1281964,2020/05/01 00:00:00+00,CHOQUE LATERAL,CHOQUE,URBANA,FALLAS MECANICAS,FALLAS MECANICAS FRENOS,0,0,0,0,21:30:00
-73.043871,-36.8161477,3897,8,REGION BIO BIO,8101,CONCEPCION,LAUTARO,MANUEL RODRIGUEZ,0,"Manuel Bulnes - Lautaro, Concepción, Bío Bío, Chile",-36.8161477,-73.043871,1,GEOMETRIC_CENTER,2020,1281999,2020/05/05 00:00:00+00,CHOQUE FRENTE/LADO,CHOQUE,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,0,0,0,17:00:00
-73.0411858,-36.7945677,3898,8,REGION BIO BIO,8101,CONCEPCION,FRAY BARTOLOME DEL POZO,CALLE DEL MEDIO,0,"Bartolomé del Pozo & Calle del Medio, Concepción, Bío Bío, Chile",-36.7945677,-73.0411858,1,GEOMETRIC_CENTER,2020,1282020,2020/05/07 00:00:00+00,COLISION LATERAL,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,18:00:00
-73.0450028,-36.816538,3899,8,REGION BIO BIO,8101,CONCEPCION,BULNES,JANEQUEO,0,"Janequeo & Manuel Bulnes, Concepción, Bío Bío, Chile",-36.816538,-73.0450028,1,GEOMETRIC_CENTER,2020,1282022,2020/05/09 00:00:00+00,CHOQUE POSTERIOR/POSTERIOR,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,11:30:00
-73.0531471,-36.8238989,3900,8,REGION BIO BIO,8101,CONCEPCION,CAUPOLICAN,LOS CARRERA,0,"Avenida los Carrera & Caupolicán, Concepción, Bío Bío, Chile",-36.8238989,-73.0531471,1,GEOMETRIC_CENTER,2020,1282025,2020/05/09 00:00:00+00,COLISION LATERAL,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,3,20:45:00
-73.0509707,-36.8047598,3901,8,REGION BIO BIO,8101,CONCEPCION,LAUTARO,VENTUS,0,"Ventus & Lautaro, Concepción, Bío Bío, Chile",-36.8047598,-73.0509707,1,GEOMETRIC_CENTER,2020,1282026,2020/05/08 00:00:00+00,COLISION LATERAL,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,12:00:00
-73.0545494,-36.7879264,3902,8,REGION BIO BIO,8101,CONCEPCION,COSME CHURRUCA,RAMON CARRASCO,0,"Cosme Churruca & Ramón Carrasco, Concepción, Bío Bío, Chile",-36.7879264,-73.0545494,1,GEOMETRIC_CENTER,2020,1282028,2020/05/09 00:00:00+00,CHOQUE POSTERIOR/LADO,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,19:00:00
-73.0583424,-36.8131461,3903,8,REGION BIO BIO,8101,CONCEPCION,ANIBAL PINTO,EJERCITO,0,"Anibal Pinto & Ejército, Concepción, Bío Bío, Chile",-36.8131461,-73.0583424,1,GEOMETRIC_CENTER,2020,1282032,2020/05/12 00:00:00+00,COLISION LATERAL,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,1,18:15:00
-73.0291741,-36.9073547,3904,8,REGION BIO BIO,8103,CHIGUAYANTE,COSTANERA,MANZANA II,0,"Plaza De Armas Chiguayante, Chiguayante, Bío Bío, Chile",-36.9073547,-73.0291741,1,GEOMETRIC_CENTER,2020,1282037,2020/05/15 00:00:00+00,COLISION FRONTAL,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,17:05:00
-72.3436175,-37.4633439,3905,8,REGION BIO BIO,8301,LOS ANGELES,AGENTINA,CALLE NUEVA,0,"Argentina 146, Biobío, Los Ángeles, Bío Bío, Chile",-37.4633439,-72.3436175,1,ROOFTOP,2020,1282052,2020/05/18 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:15:00
-73.0839035,-36.7683613,3906,8,REGION BIO BIO,8110,TALCAHUANO,JAIME REPULLO, ,98,"Jaime Repullo 98, Talcahuano, Bío Bío, Chile",-36.7683613,-73.0839035,1,RANGE_INTERPOLATED,2020,1282054,2020/05/23 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,0,0,0,0,18:52:00
-72.35245,-37.4712364,3907,8,REGION BIO BIO,8301,LOS ANGELES,CAUPOLICAN,VALDIVIA,0,"Caupolicán & Valdivia, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4712364,-72.35245,1,GEOMETRIC_CENTER,2020,1282064,2020/05/19 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,11:40:00
-73.49157,-38.3437989,3908,8,REGION BIO BIO,8207,TIRUA,ARTURO PRAT,SAN JAIME,0,"San Jaime & Arturo Prat, Tirua, Tirúa, Bío Bío, Chile",-38.3437989,-73.49157,1,GEOMETRIC_CENTER,2020,1282112,2020/05/19 00:00:00+00,COLISION,COLISION,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,1,15:48:00
-72.3482493,-37.4679062,3909,8,REGION BIO BIO,8301,LOS ANGELES,VILLAGRAN, ,492,"Villagrán 492, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4679062,-72.3482493,1,ROOFTOP,2020,1282122,2020/05/20 00:00:00+00,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,19:45:00
-73.0889726,-36.7762955,3910,8,REGION BIO BIO,8110,TALCAHUANO,EJERCITO, ,6742,"Ejército, Talcahuano, Bío Bío, Chile",-36.7762955,-73.0889726,1,GEOMETRIC_CENTER,2020,1282124,2020/05/13 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,0,0,0,1,10:30:00
-72.3514128,-37.476876,3911,8,REGION BIO BIO,8301,LOS ANGELES,BERNARDO OHIGGINS,PATRICIO LYNCH,0,"Patricio Lynch & Bernardo OHiggins, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.476876,-72.3514128,1,GEOMETRIC_CENTER,2020,1282129,2020/05/21 00:00:00+00,COLISION LATERAL,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,0,0,3,14:18:00
-73.1173747,-36.728888,3912,8,REGION BIO BIO,8110,TALCAHUANO,DURENSA,JUAN ANTONIO RIOS,0,"Juan Antonio Rios - La Marina, Talcahuano, Bío Bío, Chile",-36.728888,-73.1173747,1,GEOMETRIC_CENTER,2020,1282130,2020/05/16 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,0,0,0,0,09:00:00
-73.0365151,-36.8918814,3913,8,REGION BIO BIO,8103,CHIGUAYANTE,COSTANERA, ,5,"Av. Costanera, Chiguayante, Bío Bío, Chile",-36.8918814,-73.0365151,1,GEOMETRIC_CENTER,2020,1282149,2020/05/07 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SOBREPASANDO LINEA CONTINUA,0,0,0,0,16:30:00
-73.0157146,-36.9478462,3914,8,REGION BIO BIO,8103,CHIGUAYANTE,MANUEL RODRIGUEZ,PORVENIR,0,"C. Porvenir & Av. Manuel Rodríguez, Chiguayante, Bío Bío, Chile",-36.9478462,-73.0157146,1,GEOMETRIC_CENTER,2020,1282159,2020/05/19 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,1,18:20:00
-73.0589464,-36.836343,3915,8,REGION BIO BIO,8101,CONCEPCION,ESMERALDA,BOMB FUENTES,0,"Esmeralda, Concepción, Bío Bío, Chile",-36.836343,-73.0589464,1,GEOMETRIC_CENTER,2020,1282161,2020/05/25 00:00:00+00,COLISION FRONTAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,VIRAJES INDEBIDOS,0,0,0,1,08:40:00
-73.0224698,-36.9505307,3916,8,REGION BIO BIO,8103,CHIGUAYANTE,PORVENIR, ,562,"C. Porvenir 562, Chiguayante, Bío Bío, Chile",-36.9505307,-73.0224698,1,RANGE_INTERPOLATED,2020,1282162,2020/05/20 00:00:00+00,CHOQUE POSTERIOR,CHOQUE,URBANA,OTRAS CAUSAS,OTRAS CAUSAS,0,0,0,0,14:30:00
-72.3415378,-37.4700613,3917,8,REGION BIO BIO,8301,LOS ANGELES,MENDOZA,COLO COLO,0,"Balmaceda 441, Los Angeles, Los Ángeles, Bío Bío, Chile",-37.4700613,-72.3415378,1,ROOFTOP,2020,1282168,2020/05/22 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,1,0,0,17:40:00
