X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-71.5266026,-32.933707,576,5,REGION VALPARAISO,5103,CONCON,CONCON REÑACA,LAS ELENAS,0,"Las Elenas & Av. Concon Reñaca, Concón, Valparaíso, Chile",-32.933707,-71.5266026,1,GEOMETRIC_CENTER,2020,1294777,2020/08/11 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,12:45:00
-71.5458041,-33.0325401,577,5,REGION VALPARAISO,5109,VIÑA DEL MAR,MANUEL VILLAGRA,COLOMBIA,0,"Colombia & Manuel Villagra, Viña del Mar, Valparaíso, Chile",-33.0325401,-71.5458041,1,GEOMETRIC_CENTER,2020,1294831,2020/08/04 00:00:00+00,COLISION LATERAL,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,17:44:00
-71.5492084,-32.9564024,578,5,REGION VALPARAISO,5109,VIÑA DEL MAR,BORGOÑO, ,16350,"Av. Borgoño 16350, Viña del Mar, Concón, Valparaíso, Chile",-32.9564024,-71.5492084,1,ROOFTOP,2020,1294834,2020/08/10 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,06:55:00
-71.5372573,-33.0612962,579,5,REGION VALPARAISO,5109,VIÑA DEL MAR,RIO SAN PEDRO,MIRADOR,0,"El Mirador & Rio San Pedro, Viña del Mar, Valparaíso, Chile",-33.0612962,-71.5372573,1,GEOMETRIC_CENTER,2020,1294837,2020/08/12 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,18:30:00
-71.5024544,-33.0209114,580,5,REGION VALPARAISO,5109,VIÑA DEL MAR,CARLOS IBAÑEZ DEL CAMPO, ,21,"Carlos Ibáñez del Campo 21, Viña del Mar, Valparaíso, Chile",-33.0209114,-71.5024544,1,RANGE_INTERPOLATED,2020,1294846,2020/08/03 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,1,2,04:20:00
-71.5363727,-32.9722856,581,5,REGION VALPARAISO,5109,VIÑA DEL MAR,BALMACEDA, ,100,"Av. José Manuel Balmaceda 100, Viña del Mar, Valparaíso, Chile",-32.9722856,-71.5363727,1,RANGE_INTERPOLATED,2020,1294844,2020/08/16 00:00:00+00,COLISION,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,14:10:00
-70.5976322,-32.8417775,582,5,REGION VALPARAISO,5301,LOS ANDES,CHACAY,JERUSALEN,0,"Chacay, Los Andes, Valparaíso, Chile",-32.8417775,-70.5976322,1,GEOMETRIC_CENTER,2020,1294868,2020/08/13 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,1,17:50:00
-71.1924095,-32.7863718,583,5,REGION VALPARAISO,5502,CALERA,DIEGO LILLO,CAUPOLICAN,0,"Diego Lillo & Caupolicán, La Calera, Calera, Valparaíso, Chile",-32.7863718,-71.1924095,1,GEOMETRIC_CENTER,2020,1294939,2020/08/19 00:00:00+00,CHOQUE LADO/LADO,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,09:00:00
-71.5678561,-33.0212765,584,5,REGION VALPARAISO,5109,VIÑA DEL MAR,LA MARINA, ,37,"Av. Marina 37, Viña del Mar, Valparaíso, Chile",-33.0212765,-71.5678561,1,ROOFTOP,2020,1294961,2020/02/08 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,VELOCIDAD IMPRUDENTE,VELOCIDAD NO RAZONABLE NI PRUDENTE,1,0,0,0,02:45:00
-70.956166,-32.8409806,585,5,REGION VALPARAISO,5703,LLAY LLAY,LAS PEÑAS, ,0,"Llay Llay, Llayllay, Valparaíso, Chile",-32.8409806,-70.956166,1,APPROXIMATE,2020,1294955,2020/08/16 00:00:00+00,COLISION,COLISION,RURAL,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,13:40:00
-70.7311766,-32.7588071,586,5,REGION VALPARAISO,5701,SAN FELIPE,SANTIAGO BUERAS, ,87,"Coronel Santiago Bueras 87, San Felipe, Valparaíso, Chile",-32.7588071,-70.7311766,1,RANGE_INTERPOLATED,2020,1294957,2020/08/16 00:00:00+00,CHOQUE,CHOQUE,URBANA,PERDIDA CONTROL VEHICULO,PERDIDA CONTROL VEHICULO,0,0,0,0,20:55:00
-71.5331295,-33.044487,587,5,REGION VALPARAISO,5109,VIÑA DEL MAR,RIO VALDIVIA, ,3,"Av. Valdivia 3, Viña del Mar, Valparaíso, Chile",-33.044487,-71.5331295,1,RANGE_INTERPOLATED,2020,1294996,2020/08/17 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:30:00
