X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,Idaccident,Fecha,Tipo_Accid,Tipo__CONA,Zona,Causa__CON,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora
-70.1391357,-20.2163207,964,1,REGION TARAPACA,1101,IQUIQUE,HEROES DE LA CONCEPCION,SGTO ALDEA,0,"Sgto. Aldea & Av. Heroes de la Concepción, Iquique, Tarapacá, Chile",-20.2163207,-70.1391357,1,GEOMETRIC_CENTER,2020,1320600,2020/12/24 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,0,0,0,3,10:20:00
-70.097004,-20.291887,965,1,REGION TARAPACA,1107,ALTO HOSPICIO,FRANCIA, ,3124,"C. Francia 3124, Alto Hospicio, Tarapacá, Chile",-20.291887,-70.097004,1,RANGE_INTERPOLATED,2020,1320628,2020/12/24 00:00:00+00,CHOQUE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,13:00:00
-70.0984739,-20.2722121,966,1,REGION TARAPACA,1107,ALTO HOSPICIO,SALITRERA IRIS,LOS ALMENDROS,0,"Los Almendros & Salitrera Iris, Alto Hospicio, Tarapacá, Chile",-20.2722121,-70.0984739,1,GEOMETRIC_CENTER,2020,1320632,2020/12/25 00:00:00+00,CHOQUE FRONTAL,CHOQUE,URBANA,CAUSAS NO DETERMINADAS,CAUSAS NO DETERMINADAS,0,0,0,0,05:20:00
-70.1381611,-20.2257263,967,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PEREZ CANTO,LIBERTAD,0,"Arturo Pérez Canto & Libertad, Iquique, Tarapacá, Chile",-20.2257263,-70.1381611,1,GEOMETRIC_CENTER,2020,1320682,2020/12/24 00:00:00+00,COLISION PERPENDICULAR,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER SEÑAL PARE,0,0,0,0,21:50:00
-70.1384119,-20.2111906,968,1,REGION TARAPACA,1101,IQUIQUE,SOTOMAYOR,HEROES DE LA CONCEPCION,0,"Sotomayor & Avenida Héroes de la Concepción, Iquique, Tarapacá, Chile",-20.2111906,-70.1384119,1,GEOMETRIC_CENTER,2020,1320808,2020/12/26 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,DESOBEDIENCIA A SEÑALIZACION,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,0,0,0,20:00:00
-70.1327822,-20.2246419,969,1,REGION TARAPACA,1101,IQUIQUE,CAMPO DE DEPORTES,LOS CASTAÑOS,0,"Avenida Elias Lafertte & Los Castaños, Iquique, Tarapacá, Chile",-20.2246419,-70.1327822,1,GEOMETRIC_CENTER,2020,1320961,2020/12/27 00:00:00+00,ATROPELLO,ATROPELLO,URBANA,IMPRUDENCIA DEL PEATON,PEATON CRUZA CALZADA FUERA PASO PEATONES,0,0,0,1,16:45:00
-70.1017849,-20.2612611,970,1,REGION TARAPACA,1107,ALTO HOSPICIO,TTE HERNAN MERINO CORREA,LOS GUINDALES,0,"Los Guindales & Avenida Teniente Hernán Merino Correa, Alto Hospicio, Tarapacá, Chile",-20.2612611,-70.1017849,1,GEOMETRIC_CENTER,2020,1321196,2020/12/27 00:00:00+00,CHOQUE,CHOQUE,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,23:25:00
-70.1383408,-20.2155912,971,1,REGION TARAPACA,1101,IQUIQUE,THOMPSON,LUIS CRUZ MARTINEZ,0,"Luis Cruz Martínez & Thomson, Iquique, Tarapacá, Chile",-20.2155912,-70.1383408,1,GEOMETRIC_CENTER,2020,1322114,2020/12/21 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,ADELANTAMIENTO SIN EFECTUAR LA SEÑAL RESPECTIVA,0,0,0,0,20:30:00
-70.1434772,-20.2145055,972,1,REGION TARAPACA,1101,IQUIQUE,TARAPACA,ERRAZURIZ,0,"Presidente Errázuriz & Tarapacá, Iquique, Tarapacá, Chile",-20.2145055,-70.1434772,1,GEOMETRIC_CENTER,2020,1322149,2020/12/29 00:00:00+00,COLISION POR ALCANCE,COLISION,URBANA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,17:45:00
-70.0986004,-20.2590395,973,1,REGION TARAPACA,1107,ALTO HOSPICIO,MONTE LOS OLIVOS, ,2891,"Av. Monte los Olivos 2891, Alto Hospicio, Tarapacá, Chile",-20.2590395,-70.0986004,1,RANGE_INTERPOLATED,2020,1322280,2020/12/30 00:00:00+00,CHOQUE,CHOQUE,URBANA,ALCOHOL EN CONDUCTOR,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,23:25:00
